top - 20:38:40 up 1 day,  7:54,  6 users,  load average: 0.05, 0.09, 0.13
Tasks: 162 total,   1 running, 161 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.7%us,  0.8%sy,  0.0%ni, 98.0%id,  0.4%wa,  0.0%hi,  0.1%si,  0.0%st
Mem:   1538040k total,  1432476k used,   105564k free,   431888k buffers
Swap:  2097148k total,    66472k used,  2030676k free,    98792k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                          
 2316 haya      20   0  173m 2916  956 S    0  0.2   0:00.41 gnome-screensav                                                                                  
 2327 haya      20   0  236m 3112 1744 S    0  0.2   0:00.40 indicator-me-se                                                                                  
 2329 haya      20   0  231m 3460 1912 S    0  0.2   0:00.56 indicator-sessi                                                                                  
 2334 haya      20   0  235m 3068 1784 S    0  0.2   0:00.08 indicator-messa                                                                                  
 2337 haya      20   0  210m 3232 1836 S    0  0.2   0:02.48 indicator-appli                                                                                  
 2340 haya      20   0  337m 3696 1988 S    0  0.2   0:00.87 indicator-sound                                                                                  
 2813 www-data  20   0  128m 1944  180 S    0  0.1   0:00.00 apache2                                                                                          
 2814 www-data  20   0  128m 1968  180 S    0  0.1   0:00.00 apache2                                                                                          
 2815 www-data  20   0  128m 1968  180 S    0  0.1   0:00.00 apache2                                                                                          
 2816 www-data  20   0  128m 1964  180 S    0  0.1   0:00.00 apache2                                                                                          
 2817 www-data  20   0  128m 1968  180 S    0  0.1   0:00.00 apache2                                                                                          
 4404 haya      20   0 44756 7404 1124 S    0  0.5   0:01.26 zsh                                                                                              
 4602 haya      20   0  121m 3096  908 S    0  0.2   0:00.05 kdeinit4                                                                                         
 4605 haya      20   0  158m 3852 1540 S    0  0.3   0:00.37 klauncher                                                                                        
 4607 haya      20   0  463m 9748 3540 S    0  0.6   0:04.94 kded4                                                                                            
 4613 haya      20   0  501m  10m 3852 S    0  0.7   0:01.49 knotify4                                                                                         
 5361 haya      20   0  219m 7280 3064 S    0  0.5   0:03.75 bamfdaemon                                                                                       
 5410 haya      20   0 56928 1924 1440 S    0  0.1   0:00.15 dconf-service                                                                                    
 7801 haya      20   0 44740 7700 1372 S    0  0.5   0:01.98 zsh                                                                                              
10225 root      20   0  7084 1384  896 S    0  0.1   0:00.02 dhclient                                                                                         
10377 postfix   20   0 39428 1732 1268 S    0  0.1   0:00.01 pickup                                                                                           
10378 postfix   20   0 39480 1744 1272 S    0  0.1   0:00.01 qmgr                                                                                             
10390 haya      20   0 41132 2548 1908 S    0  0.2   0:00.58 ssh                                                                                              
10391 haya      20   0 41128 2580 1940 S    0  0.2   0:01.12 ssh                                                                                              
10487 ntp       20   0 38736 1932 1312 S    0  0.1   0:00.29 ntpd                                                                                             
11518 haya      20   0  257m  48m 8448 S    0  3.3   1:10.78 emacs                                                                                            
11524 haya      20   0 44852 8032 1668 S    0  0.5   0:02.21 zsh                                                                                              
11649 haya      20   0 26788 4688  524 S    0  0.3   0:00.07 ruby                                                                                             
12126 haya      20   0 42384 6804  756 S    0  0.4   0:01.21 zsh                                                                                              
12250 haya      20   0 19404 1792  624 S    0  0.1   0:00.08 man                                                                                              
12260 haya      20   0 13028 1048  628 S    0  0.1   0:00.01 lv                                                                                               
12282 haya      20   0 44992 7616 1248 S    0  0.5   0:01.80 zsh                                                                                              
13150 root      20   0     0    0    0 S    0  0.0   0:00.34 kworker/0:2                                                                                      
13181 haya      20   0 57048 2840 2232 S    0  0.2   0:00.05 evinced                                                                                          
13197 haya      20   0  459m  53m  17m S    0  3.5   0:03.83 evince                                                                                           
13322 root      20   0     0    0    0 S    0  0.0   0:00.08 kworker/1:2                                                                                      
13343 root      20   0     0    0    0 S    0  0.0   0:00.00 kworker/0:1                                                                                      
13493 root      20   0     0    0    0 S    0  0.0   0:00.02 kworker/1:1                                                                                      


top - 20:38:46 up 1 day,  7:54,  6 users,  load average: 0.04, 0.09, 0.12
Tasks: 162 total,   1 running, 161 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.5%us,  0.5%sy,  0.0%ni, 99.0%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1538040k total,  1432492k used,   105548k free,   431896k buffers
Swap:  2097148k total,    66472k used,  2030676k free,    98844k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                          
13197 haya      20   0  459m  53m  17m S    1  3.5   0:03.85 evince                                                                                           
 1305 root      20   0  255m 106m 6472 S    0  7.1   9:52.37 Xorg                                                                                             
 2239 haya      20   0  292m 5628 2732 S    0  0.4   7:50.39 multiload-apple                                                                                  
    1 root      20   0 24148 1808 1044 S    0  0.1   0:02.32 init                                                                                             
    2 root      20   0     0    0    0 S    0  0.0   0:00.25 kthreadd                                                                                         
    3 root      20   0     0    0    0 S    0  0.0   0:06.76 ksoftirqd/0                                                                                      
    5 root      20   0     0    0    0 S    0  0.0   0:03.19 kworker/u:0                                                                                      
    6 root      RT   0     0    0    0 S    0  0.0   0:00.00 migration/0                                                                                      
    7 root      RT   0     0    0    0 S    0  0.0   0:00.00 migration/1                                                                                      
    9 root      20   0     0    0    0 S    0  0.0   0:06.54 ksoftirqd/1                                                                                      
   11 root       0 -20     0    0    0 S    0  0.0   0:00.00 cpuset                                                                                           
   12 root       0 -20     0    0    0 S    0  0.0   0:00.00 khelper                                                                                          
   13 root       0 -20     0    0    0 S    0  0.0   0:00.00 netns                                                                                            
   14 root      20   0     0    0    0 S    0  0.0   0:02.30 kworker/u:1                                                                                      
   15 root      20   0     0    0    0 S    0  0.0   0:00.36 sync_supers                                                                                      
   16 root      20   0     0    0    0 S    0  0.0   0:00.01 bdi-default                                                                                      
   17 root       0 -20     0    0    0 S    0  0.0   0:00.00 kintegrityd                                                                                      
   18 root       0 -20     0    0    0 S    0  0.0   0:00.00 kblockd                                                                                          
   19 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpid                                                                                           
   20 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpi_notify                                                                                     
   21 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpi_hotplug                                                                                    
   22 root       0 -20     0    0    0 S    0  0.0   0:00.00 ata_sff                                                                                          
   23 root      20   0     0    0    0 S    0  0.0   0:00.00 khubd                                                                                            
   24 root       0 -20     0    0    0 S    0  0.0   0:00.00 md                                                                                               
   27 root      20   0     0    0    0 S    0  0.0   0:00.13 khungtaskd                                                                                       
   28 root      20   0     0    0    0 S    0  0.0   0:57.00 kswapd0                                                                                          
   29 root      25   5     0    0    0 S    0  0.0   0:00.00 ksmd                                                                                             
   30 root      20   0     0    0    0 S    0  0.0   0:00.08 fsnotify_mark                                                                                    
   31 root       0 -20     0    0    0 S    0  0.0   0:00.00 aio                                                                                              
   32 root      20   0     0    0    0 S    0  0.0   0:00.00 ecryptfs-kthrea                                                                                  
   33 root       0 -20     0    0    0 S    0  0.0   0:00.00 crypto                                                                                           
   37 root       0 -20     0    0    0 S    0  0.0   0:00.00 kthrotld                                                                                         
   38 root      20   0     0    0    0 S    0  0.0   0:00.01 scsi_eh_0                                                                                        
   39 root      20   0     0    0    0 S    0  0.0   0:05.49 scsi_eh_1                                                                                        
   42 root       0 -20     0    0    0 S    0  0.0   0:00.00 kmpathd                                                                                          
   43 root       0 -20     0    0    0 S    0  0.0   0:00.00 kmpath_handlerd                                                                                  
   44 root       0 -20     0    0    0 S    0  0.0   0:00.00 kondemand                                                                                        
   45 root       0 -20     0    0    0 S    0  0.0   0:00.00 kconservative                                                                                    
  198 root       0 -20     0    0    0 S    0  0.0   0:00.00 mpt_poll_0                                                                                       
  199 root       0 -20     0    0    0 S    0  0.0   0:00.00 mpt/0                                                                                            
  228 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_2                                                                                        
  248 root      20   0     0    0    0 S    0  0.0   0:18.25 jbd2/sda1-8                                                                                      
  249 root       0 -20     0    0    0 S    0  0.0   0:00.00 ext4-dio-unwrit                                                                                  
  303 root      20   0 17052  596  496 S    0  0.0   0:00.16 upstart-udev-br                                                                                  
  318 root      16  -4 21608  268  260 S    0  0.0   0:00.13 udevd                                                                                            
  449 root      18  -2 21604  204  200 S    0  0.0   0:00.00 udevd                                                                                            
  450 root      18  -2 21604  228  224 S    0  0.0   0:00.00 udevd                                                                                            
  480 syslog    20   0  117m  816  636 S    0  0.1   0:03.09 rsyslogd                                                                                         
  491 messageb  20   0 24488 1640  772 S    0  0.1   0:02.31 dbus-daemon                                                                                      
  512 avahi     20   0 32132 1136  892 S    0  0.1   0:00.56 avahi-daemon                                                                                     
  513 avahi     20   0 32008  144  100 S    0  0.0   0:00.00 avahi-daemon                                                                                     
  529 root      20   0     0    0    0 S    0  0.0   0:09.25 flush-8:0                                                                                        
  531 root      20   0 92808 2748 1864 S    0  0.2   0:01.62 NetworkManager                                                                                   
  533 root      20   0 64656 1348 1120 S    0  0.1   0:00.21 modem-manager                                                                                    
  538 root      20   0  126m 1872 1488 S    0  0.1   0:00.63 polkitd                                                                                          
  560 root      20   0 28812  908  908 S    0  0.1   0:00.00 wpa_supplicant                                                                                   
  679 root      20   0 15004  328  216 S    0  0.0   0:00.04 upstart-socket-                                                                                  
  693 root       0 -20     0    0    0 S    0  0.0   0:00.00 kpsmoused                                                                                        
  719 root       0 -20     0    0    0 S    0  0.0   0:00.00 vmmemctl                                                                                         
  815 root      20   0  6196  484  480 S    0  0.0   0:00.01 getty                                                                                            
  822 root      20   0  6196  488  484 S    0  0.0   0:00.00 getty                                                                                            
  840 root      20   0  6196  484  480 S    0  0.0   0:00.00 getty                                                                                            
  844 root      20   0  6196  488  484 S    0  0.0   0:00.00 getty                                                                                            
  850 root      20   0  6196  484  480 S    0  0.0   0:00.00 getty                                                                                            
  874 root      20   0  4284  448  444 S    0  0.0   0:00.01 acpid                                                                                            
  881 daemon    20   0 16728  228  208 S    0  0.0   0:00.01 atd                                                                                              
  882 root      20   0 18928  748  644 S    0  0.0   0:01.55 cron                                                                                             
  884 mysql     20   0  166m 2260  684 S    0  0.1   0:30.06 mysqld                                                                                           
  885 root      20   0 15780  508  424 S    0  0.0   0:16.91 irqbalance                                                                                       
 1051 root      20   0 75608 1588 1028 S    0  0.1   0:00.59 cupsd                                                                                            
 1053 root      20   0 80384 2016 1672 S    0  0.1   0:02.41 gdm-binary                                                                                       
 1068 root      20   0 59768 1732 1676 S    0  0.1   0:00.49 console-kit-dae                                                                                  
 1143 root      20   0 37364 1520 1304 S    0  0.1   0:00.70 master                                                                                           
 1150 root      20   0 94844 1532 1528 S    0  0.1   0:00.21 gdm-simple-slav                                                                                  
 1370 root      20   0  128m 3028 1280 S    0  0.2   0:04.55 apache2                                                                                          
 1794 root      20   0  130m  256  136 S    0  0.0   0:42.20 vmware-vmblock-                                                                                  
 1824 root      20   0  6196  484  480 S    0  0.0   0:00.00 getty                                                                                            
 1847 root      20   0 85500 2068 1712 S    0  0.1  64:18.60 vmtoolsd                                                                                         
 1912 root      20   0  124m 1524 1524 S    0  0.1   0:00.03 gdm-session-wor                                                                                  
 1921 haya      20   0  171m 3424 2444 S    0  0.2   0:01.10 gnome-session                                                                                    
 1953 haya      20   0 57552 2228 1520 S    0  0.1   0:43.72 ibus-daemon                                                                                      
 1956 haya      20   0 62352 1968 1692 S    0  0.1   0:00.06 ibus-gconf                                                                                       
 1958 haya      20   0  375m  12m 6124 S    0  0.8   0:32.28 python                                                                                           
 1961 haya      20   0 12092   16    0 S    0  0.0   0:00.45 ssh-agent                                                                                        
 1962 haya      20   0  140m 3020 2212 S    0  0.2   0:40.50 ibus-x11                                                                                         
 1966 haya      20   0 26400  200  200 S    0  0.0   0:00.00 dbus-launch                                                                                      
 1970 haya      20   0 26440 2448  624 S    0  0.2   0:08.77 dbus-daemon                                                                                      
 1976 haya      20   0 59156 3604 1768 S    0  0.2   0:02.37 gconfd-2                                                                                         
 1991 haya      20   0  316m  11m 4664 S    0  0.8   0:06.10 notify-osd                                                                                       
 1992 haya      20   0  173m 8672 1772 S    0  0.6   0:03.92 gnome-keyring-d                                                                                  
 1997 haya      20   0  459m 9252 3664 S    0  0.6   0:41.12 gnome-settings-                                                                                  
 2004 haya      20   0 53312 1628 1448 S    0  0.1   0:00.23 gvfsd                                                                                            
 2009 root      20   0 37952  856  804 S    0  0.1   0:04.59 tpvmlp                                                                                           
 2013 haya      20   0  275m 9308 5000 S    0  0.6   0:15.99 metacity                                                                                         
 2014 haya      20   0  151m 1052  956 S    0  0.1   0:24.58 gvfs-fuse-daemo                                                                                  
 2023 haya      20   0  213m 2204 1148 S    0  0.1   0:02.52 pulseaudio                                                                                       
 2025 rtkit     21   1 37628  964  876 S    0  0.1   0:02.91 rtkit-daemon                                                                                     
 2033 haya      20   0  694m  57m  10m S    0  3.8   3:49.04 nautilus                                                                                         
 2035 haya      20   0  421m  18m 5992 S    0  1.3   0:21.84 gnome-panel                                                                                      
 2038 haya      20   0  190m 3804 2640 S    0  0.2   0:01.88 gnome-power-man                                                                                  
 2040 haya      20   0  113m 1276 1276 S    0  0.1   0:00.03 gconf-helper                                                                                     
 2044 haya      20   0  224m 2984 2204 S    0  0.2   0:00.20 polkit-gnome-au                                                                                  
 2045 haya      20   0  277m 9748 3184 S    0  0.6   3:56.71 vmtoolsd                                                                                         
 2049 haya      20   0  406m 8084 4008 S    0  0.5   0:03.59 nm-applet                                                                                        
 2089 haya      20   0 69364 2364 1428 S    0  0.2   0:00.10 gvfs-gdu-volume                                                                                  
 2090 haya      20   0 56816 2020 1488 S    0  0.1   0:00.04 ibus-engine-moz                                                                                  
 2092 root      20   0 53836 2332 1500 S    0  0.2   0:00.27 udisks-daemon                                                                                    
 2093 root      20   0 45168  640  288 S    0  0.0   0:10.83 udisks-daemon                                                                                    
 2098 haya      20   0 60520 1756 1168 S    0  0.1   0:00.03 gvfs-gphoto2-vo                                                                                  
 2101 root      20   0 77628 2584 1568 S    0  0.2   0:00.27 upowerd                                                                                          
 2103 haya      20   0 74316 1444  928 S    0  0.1   0:00.04 gvfs-afc-volume                                                                                  
 2128 haya      20   0 66812 2984 1916 S    0  0.2   0:05.94 gvfsd-trash                                                                                      
 2191 haya      20   0  570m  56m 3952 S    0  3.8   1:41.35 dropbox                                                                                          
 2197 haya      20   0  146m 2424 1460 S    0  0.2   0:00.05 bonobo-activati                                                                                  
 2229 haya      20   0  324m  11m 6292 S    0  0.7   0:20.36 wnck-applet                                                                                      
 2231 haya      20   0  231m 6840 3320 S    0  0.4   0:00.45 trashapplet                                                                                      
 2235 haya      20   0  209m 5284 2436 S    0  0.3   0:00.40 notification-ar                                                                                  
 2236 haya      20   0  329m 8520 4232 S    0  0.6   0:02.40 indicator-apple                                                                                  
 2240 haya      20   0  397m 9244 4380 S    0  0.6   0:21.40 clock-applet                                                                                     
 2241 haya      20   0  346m  10m 4852 S    0  0.7   0:09.90 indicator-apple                                                                                  
 2286 haya      20   0 53452 2000 1380 S    0  0.1   0:00.03 gvfsd-burn                                                                                       
 2315 haya      20   0 51212 5244 1268 S    0  0.3   0:03.30 gvfsd-metadata                                                                                   
 2316 haya      20   0  173m 2916  956 S    0  0.2   0:00.41 gnome-screensav                                                                                  
 2327 haya      20   0  236m 3112 1744 S    0  0.2   0:00.40 indicator-me-se                                                                                  
 2329 haya      20   0  231m 3460 1912 S    0  0.2   0:00.56 indicator-sessi                                                                                  
 2334 haya      20   0  235m 3068 1784 S    0  0.2   0:00.08 indicator-messa                                                                                  
 2337 haya      20   0  210m 3232 1836 S    0  0.2   0:02.48 indicator-appli                                                                                  
 2340 haya      20   0  337m 3696 1988 S    0  0.2   0:00.87 indicator-sound                                                                                  
 2813 www-data  20   0  128m 1944  180 S    0  0.1   0:00.00 apache2                                                                                          
 2814 www-data  20   0  128m 1968  180 S    0  0.1   0:00.00 apache2                                                                                          
 2815 www-data  20   0  128m 1968  180 S    0  0.1   0:00.00 apache2                                                                                          
 2816 www-data  20   0  128m 1964  180 S    0  0.1   0:00.00 apache2                                                                                          
 2817 www-data  20   0  128m 1968  180 S    0  0.1   0:00.00 apache2                                                                                          
 4400 haya      20   0  563m  26m 8632 S    0  1.8   3:33.74 gnome-terminal                                                                                   
 4404 haya      20   0 44756 7404 1124 S    0  0.5   0:01.26 zsh                                                                                              
 4602 haya      20   0  121m 3096  908 S    0  0.2   0:00.05 kdeinit4                                                                                         
 4605 haya      20   0  158m 3852 1540 S    0  0.3   0:00.37 klauncher                                                                                        
 4607 haya      20   0  463m 9748 3540 S    0  0.6   0:04.94 kded4                                                                                            
 4613 haya      20   0  501m  10m 3852 S    0  0.7   0:01.49 knotify4                                                                                         
 5361 haya      20   0  219m 7280 3064 S    0  0.5   0:03.75 bamfdaemon                                                                                       
 5410 haya      20   0 56928 1924 1440 S    0  0.1   0:00.15 dconf-service                                                                                    
 7801 haya      20   0 44740 7700 1372 S    0  0.5   0:01.98 zsh                                                                                              
10225 root      20   0  7084 1384  896 S    0  0.1   0:00.02 dhclient                                                                                         
10377 postfix   20   0 39428 1732 1268 S    0  0.1   0:00.01 pickup                                                                                           
10378 postfix   20   0 39480 1744 1272 S    0  0.1   0:00.01 qmgr                                                                                             
10390 haya      20   0 41132 2548 1908 S    0  0.2   0:00.58 ssh                                                                                              
10391 haya      20   0 41128 2580 1940 S    0  0.2   0:01.12 ssh                                                                                              
10487 ntp       20   0 38736 1932 1312 S    0  0.1   0:00.29 ntpd                                                                                             
11518 haya      20   0  257m  48m 8448 S    0  3.3   1:10.78 emacs                                                                                            
11524 haya      20   0 44852 8032 1668 S    0  0.5   0:02.21 zsh                                                                                              
11649 haya      20   0 26788 4688  524 S    0  0.3   0:00.07 ruby                                                                                             
12126 haya      20   0 42384 6804  756 S    0  0.4   0:01.21 zsh                                                                                              
12250 haya      20   0 19404 1792  624 S    0  0.1   0:00.08 man                                                                                              
12260 haya      20   0 13028 1048  628 S    0  0.1   0:00.01 lv                                                                                               
12282 haya      20   0 44992 7616 1248 S    0  0.5   0:01.80 zsh                                                                                              
12771 root      20   0     0    0    0 S    0  0.0   0:00.78 kworker/1:0                                                                                      
13150 root      20   0     0    0    0 S    0  0.0   0:00.34 kworker/0:2                                                                                      
13181 haya      20   0 57048 2840 2232 S    0  0.2   0:00.05 evinced                                                                                          
13322 root      20   0     0    0    0 S    0  0.0   0:00.08 kworker/1:2                                                                                      
13343 root      20   0     0    0    0 S    0  0.0   0:00.00 kworker/0:1                                                                                      
13493 root      20   0     0    0    0 S    0  0.0   0:00.02 kworker/1:1                                                                                      
13626 haya      20   0 19360 1348  960 R    0  0.1   0:00.04 top                                                                                              


top - 20:38:49 up 1 day,  7:54,  6 users,  load average: 0.04, 0.09, 0.12
Tasks: 162 total,   1 running, 161 sleeping,   0 stopped,   0 zombie
Cpu(s):  0.5%us,  0.3%sy,  0.0%ni, 99.2%id,  0.0%wa,  0.0%hi,  0.0%si,  0.0%st
Mem:   1538040k total,  1432492k used,   105548k free,   431904k buffers
Swap:  2097148k total,    66472k used,  2030676k free,    98864k cached

  PID USER      PR  NI  VIRT  RES  SHR S %CPU %MEM    TIME+  COMMAND                                                                                          
13626 haya      20   0 19360 1348  960 R    1  0.1   0:00.06 top                                                                                              
 1305 root      20   0  255m 106m 6472 S    0  7.1   9:52.38 Xorg                                                                                             
 1847 root      20   0 85500 2068 1712 S    0  0.1  64:18.61 vmtoolsd                                                                                         
 2033 haya      20   0  694m  57m  10m S    0  3.8   3:49.05 nautilus                                                                                         
 2045 haya      20   0  277m 9748 3184 S    0  0.6   3:56.72 vmtoolsd                                                                                         
 2239 haya      20   0  292m 5628 2732 S    0  0.4   7:50.40 multiload-apple                                                                                  
13493 root      20   0     0    0    0 S    0  0.0   0:00.03 kworker/1:1                                                                                      
    1 root      20   0 24148 1808 1044 S    0  0.1   0:02.32 init                                                                                             
    2 root      20   0     0    0    0 S    0  0.0   0:00.25 kthreadd                                                                                         
    3 root      20   0     0    0    0 S    0  0.0   0:06.76 ksoftirqd/0                                                                                      
    5 root      20   0     0    0    0 S    0  0.0   0:03.19 kworker/u:0                                                                                      
    6 root      RT   0     0    0    0 S    0  0.0   0:00.00 migration/0                                                                                      
    7 root      RT   0     0    0    0 S    0  0.0   0:00.00 migration/1                                                                                      
    9 root      20   0     0    0    0 S    0  0.0   0:06.54 ksoftirqd/1                                                                                      
   11 root       0 -20     0    0    0 S    0  0.0   0:00.00 cpuset                                                                                           
   12 root       0 -20     0    0    0 S    0  0.0   0:00.00 khelper                                                                                          
   13 root       0 -20     0    0    0 S    0  0.0   0:00.00 netns                                                                                            
   14 root      20   0     0    0    0 S    0  0.0   0:02.30 kworker/u:1                                                                                      
   15 root      20   0     0    0    0 S    0  0.0   0:00.36 sync_supers                                                                                      
   16 root      20   0     0    0    0 S    0  0.0   0:00.01 bdi-default                                                                                      
   17 root       0 -20     0    0    0 S    0  0.0   0:00.00 kintegrityd                                                                                      
   18 root       0 -20     0    0    0 S    0  0.0   0:00.00 kblockd                                                                                          
   19 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpid                                                                                           
   20 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpi_notify                                                                                     
   21 root       0 -20     0    0    0 S    0  0.0   0:00.00 kacpi_hotplug                                                                                    
   22 root       0 -20     0    0    0 S    0  0.0   0:00.00 ata_sff                                                                                          
   23 root      20   0     0    0    0 S    0  0.0   0:00.00 khubd                                                                                            
   24 root       0 -20     0    0    0 S    0  0.0   0:00.00 md                                                                                               
   27 root      20   0     0    0    0 S    0  0.0   0:00.13 khungtaskd                                                                                       
   28 root      20   0     0    0    0 S    0  0.0   0:57.00 kswapd0                                                                                          
   29 root      25   5     0    0    0 S    0  0.0   0:00.00 ksmd                                                                                             
   30 root      20   0     0    0    0 S    0  0.0   0:00.08 fsnotify_mark                                                                                    
   31 root       0 -20     0    0    0 S    0  0.0   0:00.00 aio                                                                                              
   32 root      20   0     0    0    0 S    0  0.0   0:00.00 ecryptfs-kthrea                                                                                  
   33 root       0 -20     0    0    0 S    0  0.0   0:00.00 crypto                                                                                           
   37 root       0 -20     0    0    0 S    0  0.0   0:00.00 kthrotld                                                                                         
   38 root      20   0     0    0    0 S    0  0.0   0:00.01 scsi_eh_0                                                                                        
   39 root      20   0     0    0    0 S    0  0.0   0:05.49 scsi_eh_1                                                                                        
   42 root       0 -20     0    0    0 S    0  0.0   0:00.00 kmpathd                                                                                          
   43 root       0 -20     0    0    0 S    0  0.0   0:00.00 kmpath_handlerd                                                                                  
   44 root       0 -20     0    0    0 S    0  0.0   0:00.00 kondemand                                                                                        
   45 root       0 -20     0    0    0 S    0  0.0   0:00.00 kconservative                                                                                    
  198 root       0 -20     0    0    0 S    0  0.0   0:00.00 mpt_poll_0                                                                                       
  199 root       0 -20     0    0    0 S    0  0.0   0:00.00 mpt/0                                                                                            
  228 root      20   0     0    0    0 S    0  0.0   0:00.00 scsi_eh_2                                                                                        
  248 root      20   0     0    0    0 S    0  0.0   0:18.25 jbd2/sda1-8                                                                                      
  249 root       0 -20     0    0    0 S    0  0.0   0:00.00 ext4-dio-unwrit                                                                                  
  303 root      20   0 17052  596  496 S    0  0.0   0:00.16 upstart-udev-br                                                                                  
  318 root      16  -4 21608  268  260 S    0  0.0   0:00.13 udevd                                                                                            
  449 root      18  -2 21604  204  200 S    0  0.0   0:00.00 udevd                                                                                            
  450 root      18  -2 21604  228  224 S    0  0.0   0:00.00 udevd                                                                                            
  480 syslog    20   0  117m  816  636 S    0  0.1   0:03.09 rsyslogd                                                                                         
  491 messageb  20   0 24488 1640  772 S    0  0.1   0:02.31 dbus-daemon                                                                                      
  512 avahi     20   0 32132 1136  892 S    0  0.1   0:00.56 avahi-daemon                                                                                     
  513 avahi     20   0 32008  144  100 S    0  0.0   0:00.00 avahi-daemon                                                                                     
  529 root      20   0     0    0    0 S    0  0.0   0:09.25 flush-8:0                                                                                        
  531 root      20   0 92808 2748 1864 S    0  0.2   0:01.62 NetworkManager                                                                                   
  533 root      20   0 64656 1348 1120 S    0  0.1   0:00.21 modem-manager                                                                                    
  538 root      20   0  126m 1872 1488 S    0  0.1   0:00.63 polkitd                                                                                          
  560 root      20   0 28812  908  908 S    0  0.1   0:00.00 wpa_supplicant                                                                                   
  679 root      20   0 15004  328  216 S    0  0.0   0:00.04 upstart-socket-                                                                                  
  693 root       0 -20     0    0    0 S    0  0.0   0:00.00 kpsmoused                                                                                        
  719 root       0 -20     0    0    0 S    0  0.0   0:00.00 vmmemctl                                                                                         
  815 root      20   0  6196  484  480 S    0  0.0   0:00.01 getty                                                                                            
  822 root      20   0  6196  488  484 S    0  0.0   0:00.00 getty                                                                                            
  840 root      20   0  6196  484  480 S    0  0.0   0:00.00 getty                                                                                            
  844 root      20   0  6196  488  484 S    0  0.0   0:00.00 getty                                                                                            
  850 root      20   0  6196  484  480 S    0  0.0   0:00.00 getty                                                                                            
  874 root      20   0  4284  448  444 S    0  0.0   0:00.01 acpid                                                                                            
  881 daemon    20   0 16728  228  208 S    0  0.0   0:00.01 atd                                                                                              
  882 root      20   0 18928  748  644 S    0  0.0   0:01.55 cron                                                                                             
  884 mysql     20   0  166m 2260  684 S    0  0.1   0:30.06 mysqld                                                                                           
  885 root      20   0 15780  508  424 S    0  0.0   0:16.91 irqbalance                                                                                       
 1051 root      20   0 75608 1588 1028 S    0  0.1   0:00.59 cupsd                                                                                            
 1053 root      20   0 80384 2016 1672 S    0  0.1   0:02.41 gdm-binary                                                                                       
 1068 root      20   0 59768 1732 1676 S    0  0.1   0:00.49 console-kit-dae                                                                                  
 1143 root      20   0 37364 1520 1304 S    0  0.1   0:00.70 master                                                                                           
